Computed Missing Max Age,Race / Ethnicity,Date Of Last Contact,State Of Last Contact,Gender
24.0,Black / African American,4/21/96,CA,Female
36.0,White / Caucasian;Hispanic / Latino,1/26/89,CA,Male
37.0,Hispanic / Latino,10/17/11,CA,Male
38.0,White / Caucasian,5/6/79,WI,Female
37.0,White / Caucasian,5/19/82,WA,Female
19.0,Native American / Alaskan Native,5/3/83,WA,Female
18.0,Black / African American,4/29/02,FL,Female
59.0,Black / African American,10/17/93,FL,Male
21.0,Black / African American,5/10/07,FL,Male
37.0,White / Caucasian,12/21/10,AZ,Male
36.0,White / Caucasian,7/24/93,AR,Female
19.0,White / Caucasian,11/24/05,PA,Male
19.0,White / Caucasian,11/24/05,PA,Male
20.0,Asian,7/1/14,WA,Female
38.0,White / Caucasian,1/1/12,CA,Male
74.0,White / Caucasian,7/31/17,UT,Male
36.0,White / Caucasian,12/16/15,ID,Male
43.0,White / Caucasian,9/17/92,IN,Male
44.0,White / Caucasian,8/1/13,AZ,Female
57.0,White / Caucasian,1/9/05,TN,Male
28.0,White / Caucasian;Hispanic / Latino,6/10/15,TN,Male
45.0,White / Caucasian,8/24/97,CA,Female
47.0,Black / African American,8/23/07,LA,Male
26.0,White / Caucasian,7/26/68,CA,Female
42.0,Native American / Alaskan Native,5/30/17,KS,Male
34.0,Black / African American,10/1/16,TX,Male
69.0,White / Caucasian,9/1/88,MA,Female
18.0,White / Caucasian,8/1/64,WI,Female
29.0,White / Caucasian,3/15/85,FL,Female
48.0,White / Caucasian,4/3/76,MN,Male
38.0,White / Caucasian,2/15/09,TN,Male
32.0,White / Caucasian,12/10/77,CA,Female
29.0,White / Caucasian,9/27/74,PA,Female
58.0,White / Caucasian,9/1/07,NV,Male
29.0,White / Caucasian,1/18/89,AR,Female
33.0,Black / African American,7/4/89,TX,Female
16.0,Hispanic / Latino,6/6/16,NC,Female
23.0,Black / African American,11/7/15,TX,Male
40.0,White / Caucasian,1/5/17,FL,Female
20.0,White / Caucasian,1/30/10,CA,Female
48.0,White / Caucasian,12/10/16,MI,Female
39.0,White / Caucasian,12/4/95,ME,Male
67.0,White / Caucasian,10/10/16,WA,Female
33.0,Asian,11/15/05,FL,Male
37.0,White / Caucasian,12/29/03,PA,Female
52.0,Black / African American,6/7/11,MI,Female
40.0,White / Caucasian;Hispanic / Latino,10/8/10,TX,Male
28.0,White / Caucasian,11/25/73,CA,Male
15.0,White / Caucasian,4/27/17,CA,Female
25.0,White / Caucasian,7/29/15,FL,Male
19.0,White / Caucasian,2/22/78,VA,Male
50.0,Hispanic / Latino;Uncertain,2/8/91,CA,Female
54.0,White / Caucasian,1/24/14,TX,Male
1.0,White / Caucasian,1/9/09,CA,Male
22.0,White / Caucasian,6/18/87,FL,Female
29.0,Black / African American,1/1/11,MI,Female
49.0,Black / African American,5/1/06,MI,Male
20.0,Black / African American,4/9/99,MS,Female
40.0,Native American / Alaskan Native,4/26/96,WI,Male
39.0,White / Caucasian,11/13/96,IL,Male
23.0,White / Caucasian,11/26/81,NH,Female
47.0,White / Caucasian,7/4/15,WA,Male
23.0,Hispanic / Latino,5/26/16,WA,Male
25.0,White / Caucasian,11/16/02,IL,Female
0.0,White / Caucasian,3/28/91,MA,Female
43.0,White / Caucasian,3/5/72,MO,Female
32.0,Black / African American,2/4/11,AL,Male
38.0,White / Caucasian,5/14/77,CA,Male
9.0,White / Caucasian,5/30/05,AR,Male
29.0,White / Caucasian,5/21/13,MI,Male
3.0,Other,12/3/11,FL,Female
28.0,White / Caucasian,7/8/95,NC,Female
48.0,White / Caucasian,10/28/10,OR,Female
1.0,Hispanic / Latino,12/22/00,CO,Male
15.0,White / Caucasian,1/15/14,KY,Male
69.0,White / Caucasian,1/1/10,AL,Male
26.0,White / Caucasian,5/10/85,MO,Female
62.0,White / Caucasian,5/16/70,IL,Male
21.0,White / Caucasian,10/15/87,NV,Female
26.0,Native American / Alaskan Native,6/2/84,OR,Male
42.0,White / Caucasian,9/2/11,AK,Male
49.0,White / Caucasian,11/9/09,WV,Female
16.0,White / Caucasian,12/1/16,GA,Female
9.0,White / Caucasian,7/5/17,IL,Female
29.0,White / Caucasian,7/4/16,AL,Female
36.0,White / Caucasian,12/18/11,TX,Male
43.0,White / Caucasian;Hispanic / Latino,2/12/86,TX,Female
43.0,Hispanic / Latino,1/9/05,TX,Male
28.0,White / Caucasian,12/24/01,NY,Male
35.0,White / Caucasian,12/11/88,MO,Male
51.0,White / Caucasian,3/1/12,OR,Male
35.0,White / Caucasian,3/28/86,MA,Male
32.0,Black / African American,12/1/91,LA,Female
14.0,Black / African American,1/1/72,WA,Female
56.0,White / Caucasian,11/7/10,MO,Male
22.0,White / Caucasian;Hispanic / Latino,8/6/04,CA,Male
37.0,White / Caucasian,8/31/16,VA,Male
42.0,White / Caucasian,6/5/15,CA,Male
19.0,White / Caucasian,10/25/16,TX,Female
25.0,White / Caucasian,6/2/65,CA,Female
20.0,White / Caucasian,7/22/11,AK,Male
22.0,White / Caucasian,6/22/16,WI,Female
19.0,White / Caucasian,7/21/83,MI,Male
54.0,White / Caucasian,10/5/14,TX,Male
30.0,White / Caucasian,5/10/88,CA,Male
55.0,Asian,9/17/15,HI,Male
29.0,White / Caucasian,6/14/96,OK,Female
20.0,White / Caucasian;Hispanic / Latino,10/3/13,CA,Female
44.0,White / Caucasian,1/1/05,IA,Male
1.0,Other,11/28/08,CA,Male
20.0,Other,10/31/14,MS,Female
73.0,White / Caucasian,7/19/13,TN,Male
23.0,White / Caucasian,3/17/91,TX,Female
35.0,White / Caucasian,12/1/04,TN,Male
45.0,Black / African American,8/14/10,UT,Male
79.0,White / Caucasian,9/20/15,TX,Female
26.0,White / Caucasian,7/18/84,MA,Male
24.0,Black / African American,7/1/86,DC,Female
27.0,White / Caucasian,2/11/18,CT,Male
48.0,Asian,6/26/11,CA,Male
44.0,White / Caucasian,9/28/87,TX,Male
23.0,White / Caucasian,9/17/07,FL,Male
26.0,White / Caucasian,11/26/91,OH,Female
62.0,White / Caucasian,11/18/88,ME,Male
36.0,White / Caucasian,9/21/91,CA,Male
25.0,Asian,1/23/95,CA,Male
68.0,White / Caucasian;Hispanic / Latino,3/17/05,CA,Male
30.0,White / Caucasian;Hispanic / Latino,10/21/02,CA,Male
27.0,White / Caucasian,6/5/17,KY,Male
55.0,White / Caucasian,4/27/17,KS,Male
43.0,White / Caucasian,10/23/16,CA,Male
24.0,White / Caucasian,1/4/17,CO,Male
34.0,White / Caucasian;Hispanic / Latino,7/15/96,CA,Male
27.0,White / Caucasian,4/14/10,CA,Male
21.0,Hispanic / Latino,10/1/09,AZ,Male
28.0,White / Caucasian;Hispanic / Latino,7/18/87,CA,Male
22.0,White / Caucasian;Hispanic / Latino,1/1/93,CA,Male
30.0,Hispanic / Latino,6/22/12,AZ,Female
44.0,White / Caucasian,11/1/08,VA,Male
34.0,White / Caucasian;Hispanic / Latino,8/12/11,NM,Male
15.0,Hispanic / Latino,11/16/15,NV,Female
25.0,White / Caucasian,1/1/76,MS,Female
57.0,White / Caucasian,5/20/13,TX,Male
21.0,White / Caucasian,9/17/96,TN,Female
59.0,White / Caucasian,7/15/07,OH,Male
67.0,White / Caucasian,5/7/09,CA,Male
43.0,White / Caucasian,11/10/01,FL,Male
45.0,White / Caucasian,4/25/09,AL,Male
45.0,Hispanic / Latino,9/1/84,FL,Male
29.0,White / Caucasian,6/29/09,NC,Female
81.0,White / Caucasian,7/11/13,AK,Male
31.0,White / Caucasian,12/3/12,CA,Male
29.0,Hispanic / Latino,5/9/12,AZ,Male
24.0,Black / African American,11/1/95,WA,Female
55.0,White / Caucasian,12/7/01,CA,Male
71.0,White / Caucasian,10/29/11,OR,Male
54.0,White / Caucasian,11/8/10,NJ,Male
32.0,White / Caucasian,10/18/86,IA,Male
16.0,Hispanic / Latino,9/20/17,AZ,Male
30.0,Black / African American,5/14/12,DE,Male
35.0,White / Caucasian,10/27/99,WA,Male
60.0,White / Caucasian,1/14/01,TX,Female
41.0,White / Caucasian,8/17/00,VA,Male
53.0,White / Caucasian,8/3/73,VA,Female
37.0,White / Caucasian,5/6/86,CA,Male
37.0,White / Caucasian,1/25/15,OR,Male
21.0,Black / African American,5/20/16,MI,Female
4.0,White / Caucasian,10/6/10,IL,Female
19.0,White / Caucasian,8/7/80,CA,Female
30.0,White / Caucasian,1/1/78,CO,Male
28.0,White / Caucasian,12/2/86,RI,Male
21.0,White / Caucasian;Hispanic / Latino,5/6/06,TX,Male
53.0,White / Caucasian,4/7/00,VA,Male
54.0,White / Caucasian,8/1/14,TN,Male
57.0,White / Caucasian,7/16/15,CT,Female
25.0,Asian,2/6/94,CA,Male
46.0,White / Caucasian;Hispanic / Latino,6/30/93,CA,Male
50.0,Black / African American,2/7/10,SC,Male
31.0,White / Caucasian,6/8/17,MI,Female
79.0,White / Caucasian,12/11/11,WV,Male
2.0,White / Caucasian,3/11/96,NV,Female
40.0,White / Caucasian,11/9/11,OR,Male
34.0,White / Caucasian,11/26/87,TN,Female
23.0,Asian,6/18/03,FL,Female
17.0,White / Caucasian,1/25/86,WA,Male
25.0,White / Caucasian,5/29/13,OR,Male
12.0,White / Caucasian,5/5/75,ID,Female
44.0,Hispanic / Latino,1/28/94,AZ,Male
27.0,White / Caucasian,12/26/12,TX,Male
22.0,Hispanic / Latino,6/7/06,AZ,Male
46.0,Hispanic / Latino,5/4/06,AZ,Male
29.0,Black / African American;Hispanic / Latino,5/28/12,AZ,Male
23.0,White / Caucasian,1/10/88,AZ,Female
60.0,White / Caucasian,11/12/03,WA,Male
34.0,White / Caucasian,4/19/86,WA,Male
19.0,Uncertain,1/1/75,WA,Female
35.0,Black / African American,12/26/99,TX,Female
21.0,White / Caucasian,6/7/95,CO,Male
43.0,Black / African American,4/29/07,MI,Female
12.0,Hispanic / Latino,5/16/18,CA,Female
41.0,White / Caucasian,3/24/16,TX,Male
23.0,White / Caucasian;Hispanic / Latino,8/8/14,TX,Female
42.0,White / Caucasian,1/13/88,FL,Male
29.0,White / Caucasian,8/16/97,FL,Female
2.0,Other,12/20/99,CA,Female
51.0,White / Caucasian,1/31/18,NE,Male
14.0,White / Caucasian,10/22/16,CO,Female
46.0,White / Caucasian,4/15/15,WV,Female
33.0,White / Caucasian,10/11/06,CA,Male
20.0,White / Caucasian,11/2/80,FL,Male
23.0,White / Caucasian,6/13/13,KY,Female
49.0,Hispanic / Latino,2/7/08,AZ,Male
32.0,White / Caucasian,9/9/12,LA,Male
33.0,White / Caucasian,1/1/93,CA,Female
53.0,White / Caucasian,9/19/09,WY,Female
12.0,White / Caucasian,3/2/83,TN,Male
24.0,White / Caucasian,6/24/80,CA,Male
31.0,White / Caucasian,12/6/15,CA,Male
71.0,White / Caucasian,11/1/16,ME,Female
22.0,White / Caucasian,5/2/15,FL,Male
19.0,Black / African American,1/4/94,FL,Female
39.0,White / Caucasian,8/26/91,CA,Male
19.0,White / Caucasian,7/22/07,FL,Female
76.0,Black / African American,10/4/06,IL,Male
84.0,White / Caucasian,9/10/14,WA,Male
29.0,White / Caucasian,9/19/10,AR,Male
1.0,Black / African American,2/4/11,TX,Male
33.0,White / Caucasian,8/14/96,AR,Male
57.0,White / Caucasian,9/21/11,CA,Male
64.0,White / Caucasian,9/20/98,CA,Female
71.0,Asian,11/13/12,PA,Male
20.0,White / Caucasian,4/11/13,WA,Male
28.0,Hispanic / Latino,9/1/08,CA,Male
27.0,White / Caucasian,6/20/84,CA,Male
22.0,White / Caucasian,6/17/84,IL,Male
91.0,White / Caucasian,8/28/11,VT,Male
32.0,White / Caucasian,8/5/89,MN,Male
68.0,White / Caucasian,6/14/85,MN,Female
20.0,Black / African American,5/27/11,GA,Female
56.0,White / Caucasian,7/28/11,CA,Male
30.0,White / Caucasian,6/20/00,MA,Female
42.0,White / Caucasian,2/24/93,CA,Male
24.0,White / Caucasian,1/5/87,CA,Female
56.0,White / Caucasian,8/3/17,NM,Male
28.0,Black / African American;Hispanic / Latino,7/31/16,NJ,Female
46.0,White / Caucasian,8/2/16,AK,Male
39.0,Black / African American,9/24/96,SC,Male
19.0,White / Caucasian,10/24/02,CA,Male
52.0,Black / African American,5/25/15,FL,Male
34.0,White / Caucasian,7/1/72,NY,Male
78.0,White / Caucasian,1/19/13,FL,Male
38.0,White / Caucasian,3/16/14,NY,Male
53.0,White / Caucasian,7/30/02,CO,Male
24.0,White / Caucasian,4/1/89,CO,Female
31.0,White / Caucasian;Hispanic / Latino,10/30/95,MT,Male
33.0,White / Caucasian;Hispanic / Latino,4/7/88,FL,Male
13.0,White / Caucasian;Hispanic / Latino,9/1/82,TX,Male
43.0,White / Caucasian,7/2/04,TN,Male
46.0,White / Caucasian,1/1/13,OR,Male
59.0,Asian,2/10/15,VA,Male
58.0,White / Caucasian;Hispanic / Latino,5/27/14,PA,Male
72.0,White / Caucasian,12/18/13,CT,Male
36.0,White / Caucasian,11/1/05,AL,Male
44.0,White / Caucasian,12/18/01,CA,Female
24.0,Black / African American,10/25/94,IN,Male
23.0,Asian,1/1/03,CA,Female
58.0,White / Caucasian,10/15/11,MI,Male
41.0,White / Caucasian,12/7/13,MA,Male
20.0,White / Caucasian,1/7/85,CA,Male
35.0,White / Caucasian,3/14/99,OK,Male
28.0,White / Caucasian,9/5/70,AZ,Male
38.0,White / Caucasian,3/5/01,MI,Female
29.0,White / Caucasian,11/12/14,TN,Male
35.0,Uncertain,5/16/15,AZ,Male
27.0,Black / African American,11/10/87,IL,Female
38.0,White / Caucasian,6/1/77,CA,Female
41.0,White / Caucasian,6/29/97,AK,Female
37.0,White / Caucasian,12/26/16,WA,Male
66.0,Black / African American,8/4/08,SC,Female
74.0,White / Caucasian,6/8/96,TN,Female
49.0,White / Caucasian,2/26/88,FL,Male
53.0,Black / African American,1/4/91,CA,Female
28.0,White / Caucasian,7/1/89,TX,Male
28.0,White / Caucasian,4/12/98,CA,Female
60.0,Black / African American,6/9/11,VA,Female
26.0,White / Caucasian,12/1/90,TX,Female
36.0,Hispanic / Latino,1/8/10,CA,Female
24.0,White / Caucasian,5/13/17,TX,Male
69.0,White / Caucasian,2/14/84,MI,Female
15.0,White / Caucasian;Hispanic / Latino,2/26/16,CO,Male
32.0,Black / African American,4/1/91,MI,Female
32.0,White / Caucasian,7/19/77,NY,Male
25.0,Black / African American,3/31/08,IL,Male
27.0,White / Caucasian;Hispanic / Latino,9/29/12,TX,Male
25.0,White / Caucasian,7/31/08,TX,Female
38.0,White / Caucasian;Hispanic / Latino,6/24/90,CA,Female
25.0,Black / African American,10/13/15,MI,Male
35.0,White / Caucasian,4/16/83,CA,Male
59.0,White / Caucasian,4/15/14,NY,Male
17.0,White / Caucasian,5/19/77,CA,Male
27.0,White / Caucasian;Hispanic / Latino,2/4/78,CA,Male
50.0,Black / African American,6/22/13,LA,Male
45.0,White / Caucasian,6/15/12,FL,Male
53.0,White / Caucasian,2/21/86,CA,Male
60.0,White / Caucasian,8/14/10,OR,Male
29.0,White / Caucasian,6/1/93,WA,Female
18.0,White / Caucasian,2/6/12,WA,Male
30.0,White / Caucasian,1/26/77,MT,Male
33.0,White / Caucasian;Hispanic / Latino,3/30/96,CA,Male
20.0,White / Caucasian;Hispanic / Latino,11/23/13,TX,Male
56.0,White / Caucasian,4/25/17,TN,Male
31.0,White / Caucasian,6/23/17,WA,Male
20.0,White / Caucasian,6/24/08,FL,Male
14.0,White / Caucasian,5/24/77,OR,Male
40.0,White / Caucasian;Hispanic / Latino,12/24/99,TX,Female
42.0,White / Caucasian,7/7/01,NC,Male
73.0,White / Caucasian,9/10/94,CO,Male
26.0,White / Caucasian,4/17/86,ME,Male
24.0,White / Caucasian,4/17/18,CT,Male
67.0,White / Caucasian,5/9/17,LA,Female
14.0,White / Caucasian,7/14/15,CO,Female
28.0,White / Caucasian,3/6/90,OK,Male
30.0,White / Caucasian,3/21/97,WA,Female
44.0,White / Caucasian,10/25/98,WA,Male
51.0,White / Caucasian,9/14/06,CA,Female
14.0,Hispanic / Latino,2/16/12,UT,Female
47.0,White / Caucasian,9/6/08,OR,Male
24.0,White / Caucasian,10/27/89,FL,Female
24.0,Asian,3/9/81,CA,Male
18.0,Native American / Alaskan Native,6/28/79,WA,Female
53.0,White / Caucasian,10/10/11,AK,Male
48.0,White / Caucasian,1/1/15,MD,Male
66.0,White / Caucasian,11/1/13,AZ,Male
71.0,Asian,8/15/03,CO,Male
44.0,Black / African American,4/1/11,LA,Female
34.0,White / Caucasian,9/10/14,OR,Male
51.0,White / Caucasian,6/25/90,PA,Male
23.0,Black / African American,2/4/18,GA,Female
58.0,White / Caucasian,5/15/12,AR,Male
40.0,White / Caucasian,1/3/91,WA,Female
16.0,Hispanic / Latino,2/7/17,PA,Female
15.0,White / Caucasian,11/29/16,TX,Female
29.0,White / Caucasian;Hispanic / Latino,8/25/89,FL,Female
28.0,White / Caucasian,5/23/04,TX,Female
22.0,White / Caucasian,10/31/03,CA,Female
19.0,White / Caucasian,1/5/01,TX,Female
27.0,White / Caucasian,5/16/99,IL,Female
36.0,Native American / Alaskan Native,11/26/16,NC,Male
3.0,Other,11/8/04,CA,Male
12.0,White / Caucasian,4/11/00,MS,Male
23.0,White / Caucasian,4/9/03,WA,Male
22.0,White / Caucasian,12/13/08,WA,Male
42.0,Black / African American,3/3/01,LA,Female
24.0,Black / African American,10/1/11,IN,Male
32.0,White / Caucasian,12/31/13,LA,Female
62.0,White / Caucasian,1/15/17,WA,Male
41.0,White / Caucasian,10/14/16,OR,Male
30.0,White / Caucasian,2/7/87,NV,Female
25.0,White / Caucasian,7/22/16,CO,Male
47.0,Native American / Alaskan Native,7/6/16,WA,Male
0.0,Black / African American,9/28/06,MI,Female
50.0,White / Caucasian,3/16/15,CA,Male
64.0,White / Caucasian,9/8/15,TX,Male
28.0,White / Caucasian,1/22/12,PA,Female
65.0,White / Caucasian,7/15/02,NV,Male
4.0,Other,8/12/07,OH,Male
25.0,Hispanic / Latino,5/2/10,AZ,Male
33.0,Other,9/1/17,FL,Male
22.0,White / Caucasian,12/1/17,IL,Female
27.0,Native American / Alaskan Native,1/7/18,AK,Male
16.0,Black / African American,10/4/17,TN,Male
29.0,White / Caucasian,3/26/86,OR,Male
30.0,White / Caucasian,4/2/84,OR,Male
37.0,White / Caucasian,12/18/16,OH,Male
40.0,White / Caucasian;Hispanic / Latino,1/20/17,OK,Female
35.0,Hispanic / Latino,10/19/13,CO,Male
18.0,White / Caucasian,9/26/77,MI,Female
23.0,White / Caucasian,2/11/75,IL,Female
55.0,Native American / Alaskan Native,10/1/15,NE,Male
38.0,Hispanic / Latino,1/23/16,CA,Female
32.0,White / Caucasian,12/10/03,TN,Female
38.0,White / Caucasian,3/6/86,MN,Male
63.0,White / Caucasian,9/11/12,FL,Male
42.0,White / Caucasian,6/3/14,NV,Female
51.0,White / Caucasian,9/21/09,MO,Male
19.0,White / Caucasian,11/30/81,AK,Male
28.0,White / Caucasian,6/26/92,CA,Male
52.0,White / Caucasian,12/12/12,OR,Male
63.0,White / Caucasian,2/16/75,AZ,Male
19.0,White / Caucasian,7/22/84,NV,Female
27.0,White / Caucasian;Hispanic / Latino,3/9/10,CT,Male
44.0,White / Caucasian,3/29/94,MN,Female
32.0,White / Caucasian,5/25/87,MN,Male
47.0,White / Caucasian;Hispanic / Latino,5/7/05,CO,Male
10.0,White / Caucasian,8/8/00,WV,Female
40.0,White / Caucasian,12/10/96,KS,Male
21.0,White / Caucasian,11/21/77,AK,Male
28.0,White / Caucasian,8/11/86,ME,Male
30.0,Black / African American,12/12/09,FL,Male
41.0,Black / African American,12/21/07,TX,Male
26.0,White / Caucasian,5/4/94,TX,Female
45.0,White / Caucasian,9/28/90,PA,Male
30.0,White / Caucasian,8/15/93,ND,Female
25.0,White / Caucasian,7/4/14,OR,Male
57.0,White / Caucasian,11/2/13,FL,Male
19.0,White / Caucasian,4/21/85,FL,Male
35.0,White / Caucasian,10/4/75,AK,Male
84.0,White / Caucasian,8/3/13,IA,Male
35.0,White / Caucasian,12/5/69,CT,Female
76.0,White / Caucasian,6/7/89,CA,Female
27.0,White / Caucasian,7/24/95,CA,Male
44.0,White / Caucasian,10/9/00,MI,Female
47.0,White / Caucasian,11/10/14,NV,Male
54.0,White / Caucasian,1/1/10,TX,Male
42.0,White / Caucasian,3/6/13,TN,Male
42.0,White / Caucasian,6/24/13,NC,Female
23.0,Black / African American,12/6/12,CA,Male
15.0,White / Caucasian;Hispanic / Latino,8/26/11,NE,Female
74.0,White / Caucasian,10/16/11,ND,Male
27.0,White / Caucasian,7/17/11,IN,Female
16.0,White / Caucasian,6/21/72,GA,Female
30.0,White / Caucasian,3/13/66,MT,Female
54.0,White / Caucasian,12/11/10,DE,Male
36.0,White / Caucasian,3/3/99,NY,Male
16.0,White / Caucasian;Hispanic / Latino,10/16/16,CA,Male
17.0,White / Caucasian,6/9/17,OR,Female
32.0,White / Caucasian,2/22/91,NJ,Female
26.0,Black / African American,5/30/17,MI,Female
26.0,White / Caucasian;Hispanic / Latino,6/20/16,TX,Male
30.0,Black / African American,7/3/17,ME,Male
44.0,White / Caucasian,5/31/17,FL,Male
35.0,White / Caucasian,2/9/16,GA,Male
72.0,Black / African American,3/2/92,IL,Female
41.0,Asian,9/8/15,AZ,Female
51.0,White / Caucasian,5/14/15,OK,Male
35.0,Black / African American,9/23/01,OR,Female
88.0,White / Caucasian,7/1/98,OR,Male
21.0,Black / African American,7/14/95,OR,Female
0.0,Asian,8/5/00,NY,Female
7.0,White / Caucasian,1/9/13,NY,Female
25.0,White / Caucasian,5/26/78,FL,Female
40.0,White / Caucasian,11/1/98,OR,Female
13.0,White / Caucasian,1/15/14,KY,Male
4.0,Hispanic / Latino,10/20/04,TX,Male
22.0,White / Caucasian,3/3/84,CA,Male
27.0,White / Caucasian,3/8/13,GA,Female
41.0,White / Caucasian,2/15/06,NV,Female
34.0,White / Caucasian,7/18/06,PA,Male
25.0,Hispanic / Latino,7/23/06,AZ,Male
29.0,Asian,10/29/02,WA,Female
65.0,White / Caucasian,7/18/11,CA,Male
23.0,White / Caucasian;Hispanic / Latino,6/16/12,NJ,Female
64.0,White / Caucasian,4/16/18,CA,Female
37.0,White / Caucasian;Hispanic / Latino,8/15/13,IL,Male
27.0,Hispanic / Latino,7/11/10,AZ,Male
0.0,White / Caucasian,5/31/13,OK,Female
27.0,White / Caucasian,10/26/07,TN,Female
22.0,White / Caucasian,6/1/74,FL,Male
39.0,White / Caucasian,9/2/04,TX,Female
2.0,White / Caucasian,12/22/91,MN,Male
36.0,White / Caucasian,8/6/92,GA,Female
41.0,White / Caucasian,2/8/03,CA,Female
20.0,White / Caucasian,11/2/92,KS,Male
25.0,White / Caucasian,8/19/83,TN,Female
37.0,White / Caucasian,1/23/04,FL,Female
10.0,White / Caucasian,8/24/51,OH,Female
69.0,White / Caucasian,6/8/00,AR,Male
49.0,Black / African American,10/1/03,DE,Male
59.0,White / Caucasian,8/18/97,FL,Male
21.0,White / Caucasian,7/1/07,GA,Male
43.0,Black / African American,4/29/00,VA,Male
7.0,Black / African American,9/10/78,MD,Female
61.0,Asian,2/25/13,PA,Male
31.0,Black / African American,10/20/16,FL,Male
44.0,White / Caucasian,3/16/17,KY,Male
28.0,Hispanic / Latino,9/8/11,AZ,Male
30.0,Hispanic / Latino,8/9/10,AZ,Male
26.0,White / Caucasian,5/27/73,OR,Male
32.0,Black / African American,2/1/08,MI,Female
33.0,White / Caucasian,1/1/04,LA,Male
31.0,White / Caucasian,8/1/92,TX,Male
57.0,White / Caucasian,8/1/03,OR,Male
24.0,Black / African American,3/1/75,NY,Male
43.0,White / Caucasian;Hispanic / Latino,2/1/03,NC,Male
8.0,Other,12/22/08,NJ,Male
21.0,White / Caucasian;Hispanic / Latino,6/1/91,TX,Female
39.0,Asian,2/12/94,CA,Male
37.0,White / Caucasian,10/29/08,CA,Male
43.0,White / Caucasian,8/11/14,NC,Male
32.0,White / Caucasian,7/5/16,VA,Female
55.0,White / Caucasian,11/10/86,OK,Male
18.0,White / Caucasian,2/12/98,OR,Male
44.0,White / Caucasian;Hispanic / Latino,9/3/94,TX,Male
32.0,White / Caucasian,12/7/15,CA,Male
56.0,White / Caucasian;Hispanic / Latino,8/5/15,TX,Female
56.0,White / Caucasian,10/10/15,FL,Male
32.0,Native American / Alaskan Native,10/4/74,MI,Female
39.0,White / Caucasian,2/4/98,AZ,Female
48.0,White / Caucasian,6/1/03,NV,Female
22.0,White / Caucasian,11/15/76,CA,Male
17.0,Hispanic / Latino,12/6/10,KS,Male
36.0,White / Caucasian;Hispanic / Latino,1/18/11,TX,Female
29.0,White / Caucasian,4/15/83,TN,Male
28.0,White / Caucasian,11/24/05,CA,Male
40.0,White / Caucasian,7/2/02,CA,Male
22.0,White / Caucasian,7/18/85,AZ,Male
48.0,White / Caucasian,9/9/04,CO,Female
26.0,Black / African American,7/29/04,FL,Male
16.0,Hispanic / Latino,10/11/16,CA,Male
41.0,White / Caucasian,11/24/16,TX,Female
27.0,White / Caucasian,9/16/16,FL,Male
54.0,White / Caucasian,6/15/13,AZ,Male
27.0,Black / African American,1/1/95,MS,Male
21.0,White / Caucasian,8/16/16,OR,Female
43.0,White / Caucasian,10/16/86,PA,Female
27.0,White / Caucasian;Hispanic / Latino,4/11/15,NJ,Male
40.0,Black / African American,9/29/14,OH,Male
24.0,Black / African American,8/29/14,TX,Male
32.0,Native American / Alaskan Native,8/7/14,MT,Male
28.0,White / Caucasian,5/31/99,CA,Male
27.0,Black / African American,8/31/13,FL,Male
33.0,Black / African American,8/30/95,NY,Female
57.0,White / Caucasian,7/26/05,PA,Male
20.0,White / Caucasian,8/29/78,TX,Female
4.0,White / Caucasian,5/10/41,NC,Female
55.0,White / Caucasian,2/5/82,OR,Female
53.0,White / Caucasian,4/11/12,NV,Male
21.0,White / Caucasian,1/29/11,VA,Female
45.0,White / Caucasian,8/2/01,TX,Male
35.0,White / Caucasian,7/30/97,SC,Male
54.0,White / Caucasian,8/19/90,WV,Male
30.0,White / Caucasian,3/17/90,WV,Male
46.0,White / Caucasian,10/3/17,LA,Male
37.0,Native American / Alaskan Native,5/12/13,AZ,Male
41.0,Asian,5/2/16,TX,Male
47.0,Black / African American,11/1/96,KY,Male
30.0,White / Caucasian,6/1/63,CT,Male
23.0,White / Caucasian,12/25/95,OK,Female
24.0,White / Caucasian,11/1/93,AK,Female
47.0,White / Caucasian,8/16/12,FL,Female
53.0,White / Caucasian,12/24/07,WA,Male
60.0,White / Caucasian,5/4/92,MO,Male
20.0,Black / African American,3/3/79,NJ,Male
35.0,White / Caucasian,10/27/12,AL,Female
83.0,White / Caucasian;Hispanic / Latino,5/28/03,CA,Male
77.0,White / Caucasian,4/9/92,WI,Male
23.0,White / Caucasian,7/1/11,FL,Female
32.0,Black / African American,3/8/94,DC,Female
26.0,White / Caucasian,2/16/16,IN,Male
45.0,Hispanic / Latino,7/17/09,TX,Male
22.0,Black / African American,5/31/13,FL,Male
57.0,White / Caucasian,1/13/16,ID,Male
43.0,White / Caucasian,2/28/16,AR,Female
55.0,White / Caucasian,8/24/16,FL,Male
26.0,White / Caucasian,10/3/15,SC,Male
59.0,White / Caucasian,9/30/14,MI,Male
26.0,White / Caucasian,7/8/15,AZ,Female
32.0,White / Caucasian,11/2/14,FL,Male
4.0,Hispanic / Latino,8/11/13,NY,Female
24.0,White / Caucasian,4/12/01,CA,Male
30.0,White / Caucasian,12/29/13,CA,Female
44.0,Other,6/13/11,FL,Male
54.0,White / Caucasian,11/16/90,TX,Male
47.0,White / Caucasian,8/12/09,TX,Male
38.0,Asian,9/7/07,CA,Female
24.0,White / Caucasian,11/21/68,MS,Male
28.0,Hispanic / Latino,6/25/03,AZ,Female
